retailer id,Product,date,Quantity,Price
178,Capsicum (Simla Mirch) G1 (GC),2016-10-01,0.25,64.17325
178,Cauliflower Medium (Phool Gobhi Medium) (GC),2016-10-01,0.5,67.275
178,Coriander Leaf (Dhaniya)  (GC),2016-10-01,1,95.44114667
178,Garlic Peeled  (Chhila Lehsun)  (GC),2016-10-01,0.5,133.98
178,Ginger Big (Mota Adrak)  (GC),2016-10-01,1,54.3375
178,Green Chilli Thin (Patli Teekhi Hari Mirch)  (GC),2016-10-01,1,31.00971141
178,Lemon Yellow (Nimbu)  (GC),2016-10-01,1,132.7914583
178,Onion Nasik Big (Bada Nasik Pyaaz)  (GC),2016-10-01,25,13.74060614
178,Potato Big  (Mota Aloo) G1 (GC),2016-10-01,4,16.48639216
178,Tomato Hybrid  (Hybrid Tamatar) G1 (GC),2016-10-01,1,32.49376
125,Capsicum (Simla Mirch) G1 (GC),2016-10-02,0.5,59.92
125,Coriander Leaf (Dhaniya)  (GC),2016-10-02,0.5,106.9936749
125,Green Chilli Thin (Patli Teekhi Hari Mirch)  (GC),2016-10-02,0.5,33.94916949
125,Onion Nasik Big (Bada Nasik Pyaaz)  (GC),2016-10-02,25,14.8225214
125,Potato Big  (Mota Aloo) G1 (GC),2016-10-02,7,16.48639216
125,Tomato Hybrid  (Hybrid Tamatar) G1 (GC),2016-10-02,1,33.433648
